Date,Price,Open,High,Low,Vol.,Change %
2010-03-17,6560.33,"6,521.79","6,589.94","6,521.56",69.13M,1.46%
2010-03-18,6610.42,"6,534.81","6,611.25","6,504.05",69.40M,0.76%
2010-03-21,6553.78,"6,609.53","6,616.86","6,553.78",33.93M,-0.86%
2010-03-22,6518.51,"6,545.12","6,567.75","6,506.24",49.90M,-0.54%
2010-03-23,6659.14,"6,473.81","6,659.14","6,463.58",117.87M,2.16%
2010-03-24,6716.77,"6,726.91","6,776.81","6,716.77",82.13M,0.87%
2010-03-25,6765.26,"6,699.97","6,765.26","6,695.38",72.63M,0.72%
2010-03-28,6846.75,"6,788.16","6,850.04","6,783.95",68.91M,1.20%
2010-03-29,6855.25,"6,862.27","6,896.60","6,855.25",88.87M,0.12%
2010-03-30,6820.93,"6,828.38","6,832.95","6,794.57",52.72M,-0.50%
2010-03-31,6806.11,"6,833.49","6,844.23","6,799.81",67.71M,-0.22%
2010-04-01,6863.43,"6,806.56","6,867.81","6,800.13",66.27M,0.84%
2010-04-06,7051.11,"6,906.51","7,057.93","6,906.51",89.72M,2.73%
2010-04-07,7142.38,"7,060.67","7,142.43","7,044.63",146.80M,1.29%
2010-04-08,7248.61,"7,230.72","7,249.06","7,204.59",205.38M,1.49%
2010-04-11,7447.92,"7,398.77","7,453.04","7,398.77",181.16M,2.75%
2010-04-12,7515.06,"7,477.82","7,544.34","7,477.82",145.86M,0.90%
2010-04-13,7428.14,"7,481.77","7,485.99","7,413.46",143.99M,-1.16%
2010-04-14,7591.37,"7,493.86","7,595.30","7,493.86",171.44M,2.20%
2010-04-15,7573.61,"7,676.80","7,693.46","7,573.61",138.43M,-0.23%
2010-04-18,7417.06,"7,503.83","7,503.93","7,417.06",107.71M,-2.07%
2010-04-19,7390.91,"7,388.78","7,393.14","7,381.34",78.33M,-0.35%
2010-04-20,7530.56,"7,442.81","7,532.23","7,442.18",213.39M,1.89%
2010-04-21,7581.71,"7,580.80","7,622.54","7,580.28",169.35M,0.68%
2010-04-22,7467.35,"7,550.32","7,552.61","7,466.07",114.82M,-1.51%
2010-04-26,7591.05,"7,494.39","7,591.16","7,493.65",97.59M,1.66%
2010-04-27,7603.04,"7,610.15","7,639.12","7,589.43",94.10M,0.16%
2010-04-28,7500.56,"7,580.35","7,580.57","7,487.75",151.11M,-1.35%
2010-04-29,7451.72,"7,417.30","7,474.85","7,414.89",122.26M,-0.65%
2010-05-02,7277.31,"7,415.92","7,415.92","7,277.31",94.71M,-2.34%
2010-05-03,7324.45,"7,253.27","7,341.20","7,239.00",86.77M,0.65%
2010-05-04,7348.91,"7,360.35","7,451.09","7,348.91",118.65M,0.33%
2010-05-05,7176.83,"7,260.88","7,260.88","7,148.56",119.50M,-2.34%
2010-05-06,7116.45,"7,130.49","7,162.52","7,116.45",97.37M,-0.84%
2010-05-09,6756.0,"6,750.87","6,759.23","6,700.77",110.41M,-5.07%
2010-05-10,6974.96,"6,884.91","7,012.42","6,884.91",114.18M,3.24%
2010-05-11,6822.79,"6,975.80","6,980.69","6,822.79",129.69M,-2.18%
2010-05-12,6836.48,"6,784.54","6,858.08","6,746.41",82.99M,0.20%
2010-05-13,6917.13,"6,938.84","6,965.85","6,916.60",92.93M,1.18%
2010-05-16,6694.21,"6,804.28","6,804.28","6,694.11",77.77M,-3.22%
